Sensor_data:0.02,-0.04,1.09,-0.79,1.04,-1.34,0.33,
Sensor_data:0.01,0.00,0.95,-0.73,0.92,-1.34,-1.02,
Sensor_data:0.01,-0.01,1.00,-0.18,1.16,-1.34,-0.80,
Sensor_data:0.02,-0.01,0.99,0.67,0.92,-1.34,0.07,
Sensor_data:0.00,-0.01,0.99,0.06,0.85,-1.40,0.14,
Sensor_data:0.00,0.00,1.03,-1.10,0.79,-1.16,0.68,
Sensor_data:-0.02,0.04,0.99,-1.46,1.10,-0.98,0.78,
Sensor_data:-0.08,0.07,0.97,-0.06,1.28,-1.10,0.85,
Sensor_data:0.01,0.05,0.91,0.67,1.59,-1.16,0.85,
Sensor_data:-0.04,0.03,0.90,0.85,0.92,-1.28,0.85,
Sensor_data:-0.01,0.08,1.05,-1.22,1.04,-1.46,0.17,
Sensor_data:0.00,0.04,1.03,0.55,0.92,-1.53,-0.64,
Sensor_data:0.00,0.00,0.94,2.75,0.73,-1.65,-0.60,
Sensor_data:0.02,-0.02,1.02,0.98,1.10,-1.71,0.49,
Sensor_data:0.02,-0.03,0.98,0.06,0.98,-1.59,1.26,
Sensor_data:0.01,-0.02,1.02,-1.40,1.22,-1.34,0.07,
Sensor_data:0.01,-0.02,1.02,-0.31,1.04,-1.28,-0.57,
Sensor_data:0.01,-0.01,0.90,1.83,1.04,-1.59,-0.73,
Sensor_data:-0.01,-0.05,1.06,0.00,0.98,-1.34,-0.57,
Sensor_data:-0.00,0.01,1.01,-0.37,0.92,-1.28,-0.38,
Sensor_data:-0.02,0.03,0.97,-0.67,1.28,-1.40,-0.25,
Sensor_data:-0.02,0.08,1.10,0.12,1.28,-1.16,-0.02,
Sensor_data:-0.01,-0.04,1.05,2.44,0.85,-1.16,-0.06,
Sensor_data:0.01,0.04,0.96,-1.16,1.16,-1.28,0.94,
Sensor_data:-0.01,-0.01,1.01,-0.43,1.22,-1.22,0.97,
Sensor_data:0.02,-0.02,1.02,0.55,1.16,-1.40,0.01,
Sensor_data:0.00,-0.05,1.01,0.73,1.04,-1.28,-0.83,
Sensor_data:0.02,-0.03,1.00,0.37,0.79,-1.28,-0.73,
Sensor_data:-0.01,-0.01,1.00,-0.98,1.04,-0.92,0.04,
Sensor_data:-0.00,0.00,1.01,-0.85,1.16,-1.04,0.78,
Sensor_data:-0.01,0.01,1.02,0.31,0.98,-0.98,0.68,
Sensor_data:0.00,0.02,0.97,0.98,0.85,-1.10,0.62,
Sensor_data:-0.01,0.01,0.94,-0.79,1.04,-1.04,0.72,
Sensor_data:-0.02,0.08,1.06,-2.50,1.46,-0.85,0.78,
Sensor_data:-0.01,0.05,1.02,0.43,1.04,-1.16,0.81,
Sensor_data:-0.00,0.02,1.06,2.75,0.98,-1.34,0.23,
Sensor_data:-0.00,0.05,1.01,0.79,0.85,-1.65,-0.73,
Sensor_data:-0.00,0.02,0.91,1.59,0.92,-1.77,-0.57,
Sensor_data:0.02,0.01,1.08,-1.22,1.22,-1.40,1.01,
Sensor_data:0.02,-0.02,1.06,0.31,1.16,-1.53,1.14,
Sensor_data:0.02,-0.03,1.02,2.32,0.85,-1.71,0.20,
Sensor_data:-0.01,-0.04,1.00,-0.55,1.10,-1.34,-0.83,
Sensor_data:0.02,-0.04,0.94,0.31,0.98,-1.46,-0.70,
Sensor_data:0.01,-0.01,1.05,-0.85,1.16,-1.34,0.14,
Sensor_data:-0.01,0.01,1.06,0.06,1.22,-1.22,0.10,
