Sensor_data:0.01,0.07,1.03,-0.55,1.04,-0.98,0.81,
Sensor_data:0.03,-0.05,0.94,4.46,0.73,-1.89,0.04,
Sensor_data:0.02,-0.02,0.95,0.31,0.79,-1.71,-0.09,
Sensor_data:-0.01,0.05,1.06,-3.54,1.71,-1.40,-0.48,
Sensor_data:0.02,-0.05,0.98,1.89,1.10,-1.53,-0.41,
Sensor_data:-0.01,-0.01,1.06,1.28,0.79,-1.40,0.17,
Sensor_data:0.00,-0.06,0.98,2.38,0.85,-1.59,0.94,
Sensor_data:-0.01,-0.05,0.92,0.85,0.67,-1.40,0.91,
Sensor_data:-0.02,0.01,1.06,-2.75,1.22,-0.98,0.23,
Sensor_data:-0.01,0.02,1.04,-0.49,1.22,-1.10,-0.54,
Sensor_data:-0.01,0.00,1.02,1.83,0.98,-1.22,-0.48,
Sensor_data:-0.01,0.01,0.99,-0.24,1.16,-1.40,-0.57,
Sensor_data:0.00,0.01,0.97,-0.55,1.04,-1.28,0.01,
Sensor_data:-0.00,0.04,1.05,-1.65,1.10,-1.28,0.91,
Sensor_data:0.03,0.03,0.96,0.06,1.16,-1.34,0.46,
Sensor_data:0.02,-0.02,1.00,0.92,1.04,-1.40,0.68,
Sensor_data:0.01,-0.00,1.01,-0.98,1.04,-1.16,-0.06,
Sensor_data:0.03,-0.01,0.99,-0.61,1.04,-1.28,-0.83,
Sensor_data:-0.02,0.01,1.00,-0.31,1.10,-1.40,0.10,
Sensor_data:0.01,-0.04,1.05,0.43,1.28,-1.22,0.91,
Sensor_data:-0.01,-0.03,1.02,0.98,0.85,-1.34,0.81,
Sensor_data:-0.03,0.01,0.96,-0.73,0.92,-1.22,0.56,
Sensor_data:-0.00,0.01,0.99,-0.67,1.04,-1.16,0.20,
Sensor_data:0.01,-0.03,0.91,-0.61,1.16,-1.04,-0.51,
Sensor_data:-0.00,0.03,1.00,1.95,0.85,-1.34,-0.48,
Sensor_data:0.00,-0.01,0.92,2.50,0.85,-1.46,-0.48,
Sensor_data:-0.00,0.07,1.04,-1.95,1.40,-1.28,0.07,
Sensor_data:0.03,0.04,1.07,-0.43,1.22,-1.46,0.85,
Sensor_data:0.02,-0.00,1.05,2.01,0.73,-1.83,0.88,
Sensor_data:-0.00,-0.01,0.97,1.16,1.04,-1.65,0.59,
Sensor_data:0.01,-0.05,0.92,2.14,0.98,-1.65,0.23,
Sensor_data:-0.01,-0.03,1.02,-1.40,1.28,-1.34,-0.48,
Sensor_data:-0.00,-0.02,0.94,-1.22,1.22,-1.22,-0.48,
Sensor_data:0.00,-0.04,1.00,1.34,1.04,-1.40,0.20,
Sensor_data:-0.01,-0.01,1.01,0.18,1.16,-1.22,0.91,
Sensor_data:-0.02,-0.02,1.00,0.31,0.98,-1.10,0.81,
Sensor_data:-0.02,0.03,0.97,-0.92,1.10,-1.10,0.10,
Sensor_data:0.01,0.01,1.01,-0.98,1.28,-1.34,0.20,
Sensor_data:0.01,0.03,0.98,1.46,0.92,-1.28,-0.70,
Sensor_data:0.02,0.01,0.91,-0.06,0.85,-1.22,-0.70,
Sensor_data:0.01,-0.04,1.08,-1.28,1.04,-1.04,-0.06,
Sensor_data:0.01,0.02,1.00,-0.06,0.79,-1.46,0.94,
Sensor_data:0.01,-0.02,1.03,0.92,1.10,-1.16,0.62,
Sensor_data:0.00,-0.04,0.94,1.83,0.92,-1.40,0.68,
Sensor_data:-0.03,0.00,0.98,-0.43,0.85,-1.22,-0.35,
Sensor_data:-0.02,0.00,0.98,-0.55,1.16,-1.40,-0.60,
Sensor_data:-0.00,0.00,1.06,0.24,1.22,-1.16,0.07,
Sensor_data:-0.02,-0.01,0.98,0.73,0.98,-1.28,0.20,
