Sensor_data:0.00,0.06,0.96,-0.55,1.22,-1.16,1.26,
Sensor_data:0.01,0.01,1.03,0.00,1.46,-1.22,1.10,
Sensor_data:0.03,-0.02,0.96,1.59,1.10,-1.46,-1.41,
Sensor_data:0.01,-0.05,1.04,0.79,1.04,-1.40,-1.02,
Sensor_data:-0.01,-0.02,0.97,0.55,1.04,-1.22,1.43,
Sensor_data:-0.01,-0.03,0.97,0.61,0.98,-1.16,1.23,
Sensor_data:0.02,-0.01,1.02,-0.92,1.22,-1.16,-0.12,
Sensor_data:-0.00,0.00,1.02,0.00,1.04,-1.10,-0.93,
Sensor_data:-0.02,-0.03,0.96,1.04,0.92,-1.04,-0.25,
Sensor_data:0.00,-0.00,0.95,0.55,0.79,-0.92,0.17,
Sensor_data:0.08,0.03,0.94,-2.38,1.46,-0.79,0.10,
Sensor_data:0.01,0.08,1.10,-1.71,1.95,-0.85,0.07,
Sensor_data:0.01,0.04,0.86,2.38,0.79,-1.16,-1.06,
Sensor_data:0.00,0.04,0.98,1.59,1.28,-1.10,-1.06,
Sensor_data:-0.00,0.09,0.97,0.92,1.10,-1.46,1.46,
Sensor_data:-0.02,0.03,0.92,1.16,1.04,-1.59,-0.02,
Sensor_data:0.02,0.04,1.09,-0.37,1.34,-1.59,-1.18,
Sensor_data:0.03,0.01,0.98,2.20,1.10,-1.89,0.17,
Sensor_data:0.00,-0.06,1.03,2.81,0.79,-1.89,1.26,
Sensor_data:0.00,-0.06,1.00,-0.24,0.92,-1.59,0.14,
Sensor_data:0.01,-0.05,0.99,-0.24,0.98,-1.40,-0.99,
Sensor_data:0.00,-0.03,1.04,-0.98,1.16,-1.28,-0.86,
Sensor_data:0.00,-0.03,1.03,0.67,1.10,-1.34,-0.22,
Sensor_data:-0.01,-0.00,1.02,0.18,1.04,-1.22,-0.51,
Sensor_data:-0.03,0.03,1.04,-1.53,1.16,-1.04,-0.57,
Sensor_data:-0.01,0.06,1.02,-0.85,1.04,-1.16,-0.73,
Sensor_data:-0.00,0.01,1.09,0.61,1.40,-1.28,-0.93,
Sensor_data:-0.00,-0.02,1.03,2.20,1.28,-1.46,0.01,
Sensor_data:-0.01,-0.01,1.01,-0.49,1.16,-1.28,1.26,
Sensor_data:0.01,-0.03,0.95,0.31,1.16,-1.28,0.01,
Sensor_data:0.01,-0.03,1.02,-0.24,1.16,-1.22,-1.35,
Sensor_data:0.02,-0.04,1.00,0.31,1.28,-1.22,0.10,
Sensor_data:0.00,-0.03,0.97,0.67,0.79,-1.10,1.17,
Sensor_data:0.00,-0.03,1.04,-0.92,1.10,-0.98,1.17,
Sensor_data:-0.01,0.00,0.98,-0.98,0.98,-0.98,1.01,
Sensor_data:-0.02,0.00,0.99,-0.49,0.98,-0.85,0.94,
Sensor_data:-0.00,-0.05,0.89,0.73,1.04,-1.04,0.88,
Sensor_data:0.07,0.00,1.17,-2.38,1.83,-0.73,0.88,
Sensor_data:0.01,0.17,0.93,-1.46,0.92,-0.98,1.20,
Sensor_data:-0.02,0.04,1.02,0.98,1.40,-0.98,-0.54,
Sensor_data:-0.02,0.09,1.07,0.79,0.73,-1.16,-1.12,
Sensor_data:-0.03,0.03,0.88,1.65,0.92,-1.59,1.65,
Sensor_data:0.01,0.00,1.05,0.00,1.34,-1.46,1.49,
Sensor_data:-0.01,0.02,0.94,0.55,1.16,-1.59,-1.25,
Sensor_data:0.02,-0.01,1.01,0.85,1.10,-1.71,-1.15,
Sensor_data:0.01,-0.07,1.00,0.85,0.85,-1.71,0.07,
Sensor_data:0.01,-0.07,0.99,1.04,1.04,-1.59,1.30,
Sensor_data:0.00,-0.06,1.02,-0.43,1.10,-1.46,0.14,
Sensor_data:-0.00,-0.05,1.01,-0.85,1.10,-1.28,-0.41,
Sensor_data:-0.02,0.03,1.06,-0.49,1.10,-1.28,-0.09,
Sensor_data:-0.01,0.00,1.02,1.77,1.22,-1.34,0.01,
Sensor_data:-0.01,0.01,0.85,0.98,0.98,-1.28,0.01,
Sensor_data:-0.01,0.01,1.14,-2.81,1.28,-1.10,-0.09,
Sensor_data:-0.01,0.08,1.01,-1.16,1.34,-1.28,-1.15,
Sensor_data:0.01,-0.04,0.98,2.50,1.22,-1.59,-1.18,
Sensor_data:-0.00,-0.03,1.02,0.00,1.22,-1.28,1.30,
Sensor_data:-0.00,-0.03,0.99,-0.12,1.10,-1.28,0.62,
Sensor_data:0.01,-0.05,0.99,-0.37,0.98,-1.34,-1.18,
Sensor_data:0.01,-0.02,0.98,-1.10,1.16,-1.22,-0.96,
Sensor_data:0.01,-0.04,0.99,1.65,0.85,-1.16,0.20,
Sensor_data:0.00,-0.02,1.02,0.37,0.98,-0.92,0.14,
Sensor_data:-0.02,-0.03,0.99,-0.67,0.98,-0.92,0.17,
Sensor_data:-0.01,0.02,0.98,-1.40,1.04,-0.92,0.04,
Sensor_data:0.05,0.02,1.08,-1.22,1.40,-0.85,-0.12,
Sensor_data:0.00,0.08,0.86,1.28,1.10,-1.04,0.01,
Sensor_data:-0.03,-0.02,0.99,0.24,0.98,-1.04,1.20,
Sensor_data:-0.06,0.12,0.91,-1.10,1.10,-1.10,-0.25,
Sensor_data:0.01,0.07,0.97,0.73,1.40,-1.34,-1.09,
Sensor_data:0.01,0.05,1.02,1.16,0.92,-1.71,0.20,
Sensor_data:0.02,0.00,1.03,1.34,1.04,-1.65,1.20,
Sensor_data:0.03,-0.02,0.97,1.71,0.73,-1.89,0.07,
